Account_Balance,Loan_Duration,Credit_History,Loan_Purpose,Loan_Amount,Savings,Years_Employed,Installment_Rate,Gender_and_Status,Other_Debtors_Guarantors,Year_of_Residence,Property,Age,Installment_Plans,Housing,Existing_Credits,Job,Dependents,Telephone,Foreign,Credit_Rating
(A14) no checking account,18,(A32) existing credits paid back duly till now,(A40) car (new),2662,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,3,(A122) if not A121 : building society savings agreement/,32,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A202) no,Good
(A14) no checking account,12,(A34) critical account/,(A42) furniture/equipment,1402,(A63) 500 <= ... < 1000 DM,(A74) 4 <= ... < 7 years,3,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",37,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A31) all credits at this bank paid back duly,(A40) car (new),12169,(A65) unknown/ no savings account,(A71) unemployed,4,(A93) male : single,(A102) co-applicant,4,(A124) unknown / no property,36,(A143) none,(A153) for free,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A32) existing credits paid back duly till now,(A43) radio/television,3060,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,4,(A121) real estate,28,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,30,(A32) existing credits paid back duly till now,(A45) repairs,11998,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A91) male : divorced/separated,(A101) none,1,(A124) unknown / no property,34,(A143) none,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,9,(A32) existing credits paid back duly till now,(A43) radio/television,2697,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A101) none,2,(A121) real estate,32,(A143) none,(A152) own,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A14) no checking account,18,(A34) critical account/,(A43) radio/television,2404,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",26,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,12,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1262,(A65) unknown/ no savings account,(A75) .. >= 7 years,2,(A91) male : divorced/separated,(A101) none,4,(A122) if not A121 : building society savings agreement/,49,(A143) none,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,6,(A32) existing credits paid back duly till now,(A42) furniture/equipment,4611,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,32,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,1901,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",29,(A143) none,(A151) rent,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,15,(A34) critical account/,(A41) car (used),3368,(A64) .. >= 1000 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,23,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1574,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,2,(A121) real estate,50,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,18,(A31) all credits at this bank paid back duly,(A43) radio/television,1445,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",49,(A141) bank,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A14) no checking account,15,(A34) critical account/,(A42) furniture/equipment,1520,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,63,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A34) critical account/,(A40) car (new),3878,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,4,(A91) male : divorced/separated,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",37,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,47,(A32) existing credits paid back duly till now,(A40) car (new),10722,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,1,(A121) real estate,35,(A143) none,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,48,(A32) existing credits paid back duly till now,(A41) car (used),4788,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,3,(A122) if not A121 : building society savings agreement/,26,(A143) none,(A152) own,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A33) delay in paying off in the past,(A410) others,7582,(A62) 100 <= ... < 500 DM,(A71) unemployed,2,(A93) male : single,(A101) none,4,(A124) unknown / no property,31,(A143) none,(A153) for free,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,1092,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A103) guarantor,4,(A121) real estate,49,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,24,(A33) delay in paying off in the past,(A43) radio/television,1024,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A94) male : married/widowed,(A101) none,4,(A121) real estate,48,(A142) stores,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A49) business,1076,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A94) male : married/widowed,(A101) none,2,(A121) real estate,26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A202) no,Good
(A12) 0 <= ... < 200 DM,36,(A32) existing credits paid back duly till now,(A41) car (used),9398,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A94) male : married/widowed,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A151) rent,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A11) ... < 0 DM,24,(A34) critical account/,(A41) car (used),6419,(A61) ... < 100 DM,(A75) .. >= 7 years,2,(A92) female : divorced/separated/married,(A101) none,4,(A124) unknown / no property,44,(A143) none,(A153) for free,2,(A174) management/ self-employed/,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A13) ... >= 200 DM /,42,(A34) critical account/,(A41) car (used),4796,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,56,(A143) none,(A153) for free,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,48,(A34) critical account/,(A49) business,7629,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A91) male : divorced/separated,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",46,(A141) bank,(A152) own,2,(A174) management/ self-employed/,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A32) existing credits paid back duly till now,(A42) furniture/equipment,9960,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A41) car (used),4675,(A65) unknown/ no savings account,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",20,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,10,(A32) existing credits paid back duly till now,(A40) car (new),1287,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A102) co-applicant,2,(A122) if not A121 : building society savings agreement/,45,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A202) no,Good
(A14) no checking account,18,(A32) existing credits paid back duly till now,(A42) furniture/equipment,2515,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A93) male : single,(A101) none,4,(A121) real estate,43,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,21,(A34) critical account/,(A42) furniture/equipment,2745,(A64) .. >= 1000 DM,(A74) 4 <= ... < 7 years,3,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",32,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,6,(A32) existing credits paid back duly till now,(A40) car (new),672,(A61) ... < 100 DM,(A71) unemployed,1,(A92) female : divorced/separated/married,(A101) none,4,(A121) real estate,54,(A143) none,(A152) own,1,(A171) unemployed/ unskilled - non-resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,36,(A30) no credits taken/,(A43) radio/television,3804,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",42,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A13) ... >= 200 DM /,24,(A34) critical account/,(A40) car (new),1344,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,2,(A121) real estate,37,(A141) bank,(A152) own,2,(A172) unskilled - resident,2,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,10,(A34) critical account/,(A40) car (new),1038,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A102) co-applicant,3,(A122) if not A121 : building society savings agreement/,49,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,48,(A34) critical account/,(A40) car (new),10127,(A63) 500 <= ... < 1000 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,(A124) unknown / no property,44,(A141) bank,(A153) for free,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,6,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1543,(A64) .. >= 1000 DM,(A73) 1 <= ... < 4 years,4,(A91) male : divorced/separated,(A101) none,2,(A121) real estate,33,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,30,(A32) existing credits paid back duly till now,(A41) car (used),4811,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,2,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,24,(A142) stores,(A151) rent,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,727,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,4,(A94) male : married/widowed,(A101) none,3,(A124) unknown / no property,33,(A143) none,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,8,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1237,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A92) female : divorced/separated/married,(A101) none,4,(A121) real estate,24,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,9,(A32) existing credits paid back duly till now,(A40) car (new),276,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A94) male : married/widowed,(A101) none,4,(A121) real estate,22,(A143) none,(A151) rent,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A32) existing credits paid back duly till now,(A410) others,5381,(A65) unknown/ no savings account,(A71) unemployed,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,40,(A141) bank,(A153) for free,1,(A171) unemployed/ unskilled - non-resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,5511,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A142) stores,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,3749,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A40) car (new),685,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A94) male : married/widowed,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A141) bank,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A13) ... >= 200 DM /,4,(A32) existing credits paid back duly till now,(A40) car (new),1494,(A65) unknown/ no savings account,(A72) ... < 1 year,1,(A93) male : single,(A101) none,2,(A121) real estate,29,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A202) no,Good
(A11) ... < 0 DM,36,(A31) all credits at this bank paid back duly,(A42) furniture/equipment,2746,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,12,(A32) existing credits paid back duly till now,(A42) furniture/equipment,708,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A103) guarantor,3,(A122) if not A121 : building society savings agreement/,38,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,4351,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,1,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,48,(A143) none,(A152) own,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A34) critical account/,(A46) education,701,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",32,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,15,(A33) delay in paying off in the past,(A42) furniture/equipment,3643,(A61) ... < 100 DM,(A75) .. >= 7 years,1,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,27,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,30,(A34) critical account/,(A40) car (new),4249,(A61) ... < 100 DM,(A71) unemployed,4,(A94) male : married/widowed,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A152) own,2,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A43) radio/television,1938,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A91) male : divorced/separated,(A101) none,3,(A122) if not A121 : building society savings agreement/,32,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A41) car (used),2910,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A101) none,1,(A124) unknown / no property,34,(A143) none,(A153) for free,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,18,(A32) existing credits paid back duly till now,(A42) furniture/equipment,2659,(A64) .. >= 1000 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,18,(A34) critical account/,(A40) car (new),1028,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,3,(A121) real estate,36,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,8,(A34) critical account/,(A40) car (new),3398,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,1,(A93) male : single,(A101) none,4,(A121) real estate,39,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A202) no,Good
(A14) no checking account,12,(A34) critical account/,(A42) furniture/equipment,5801,(A65) unknown/ no savings account,(A75) .. >= 7 years,2,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,49,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A40) car (new),1525,(A64) .. >= 1000 DM,(A74) 4 <= ... < 7 years,4,(A92) female : divorced/separated/married,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",34,(A143) none,(A152) own,1,(A173) skilled employee / official,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A13) ... >= 200 DM /,36,(A32) existing credits paid back duly till now,(A43) radio/television,4473,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,6,(A32) existing credits paid back duly till now,(A43) radio/television,1068,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A152) own,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,24,(A34) critical account/,(A41) car (used),6615,(A61) ... < 100 DM,(A71) unemployed,2,(A93) male : single,(A101) none,4,(A124) unknown / no property,75,(A143) none,(A153) for free,2,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,18,(A34) critical account/,(A46) education,1864,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,2,(A121) real estate,30,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,60,(A32) existing credits paid back duly till now,(A40) car (new),7408,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,2,(A122) if not A121 : building society savings agreement/,24,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Bad
(A14) no checking account,48,(A34) critical account/,(A41) car (used),11590,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",24,(A141) bank,(A151) rent,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,24,(A30) no credits taken/,(A42) furniture/equipment,4110,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,23,(A141) bank,(A151) rent,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,6,(A34) critical account/,(A42) furniture/equipment,3384,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A91) male : divorced/separated,(A101) none,4,(A121) real estate,44,(A143) none,(A151) rent,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,13,(A32) existing credits paid back duly till now,(A43) radio/television,2101,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A92) female : divorced/separated/married,(A103) guarantor,4,(A122) if not A121 : building society savings agreement/,23,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,15,(A32) existing credits paid back duly till now,(A44) domestic appliances,1275,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",24,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,4169,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,28,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,10,(A32) existing credits paid back duly till now,(A42) furniture/equipment,1521,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A91) male : divorced/separated,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A34) critical account/,(A46) education,5743,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A92) female : divorced/separated/married,(A101) none,4,(A124) unknown / no property,24,(A143) none,(A153) for free,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,21,(A32) existing credits paid back duly till now,(A42) furniture/equipment,3599,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,1,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",26,(A143) none,(A151) rent,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A32) existing credits paid back duly till now,(A43) radio/television,3213,(A63) 500 <= ... < 1000 DM,(A72) ... < 1 year,1,(A94) male : married/widowed,(A101) none,3,(A121) real estate,25,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A32) existing credits paid back duly till now,(A49) business,4439,(A61) ... < 100 DM,(A75) .. >= 7 years,1,(A93) male : single,(A102) co-applicant,1,(A121) real estate,33,(A141) bank,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A13) ... >= 200 DM /,10,(A32) existing credits paid back duly till now,(A40) car (new),3949,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A93) male : single,(A103) guarantor,1,(A122) if not A121 : building society savings agreement/,37,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A14) no checking account,15,(A34) critical account/,(A43) radio/television,1459,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",43,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,13,(A34) critical account/,(A43) radio/television,882,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A93) male : single,(A103) guarantor,4,(A121) real estate,23,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A32) existing credits paid back duly till now,(A43) radio/television,3758,(A63) 500 <= ... < 1000 DM,(A71) unemployed,1,(A92) female : divorced/separated/married,(A101) none,4,(A124) unknown / no property,23,(A143) none,(A151) rent,1,(A171) unemployed/ unskilled - non-resident,1,(A191) none,(A201) yes,Good
(A14) no checking account,6,(A33) delay in paying off in the past,(A49) business,1743,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A101) none,2,(A121) real estate,34,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,9,(A34) critical account/,(A46) education,1136,(A64) .. >= 1000 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,3,(A124) unknown / no property,32,(A143) none,(A153) for free,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Bad
(A14) no checking account,9,(A32) existing credits paid back duly till now,(A44) domestic appliances,1236,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,4,(A121) real estate,23,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,9,(A32) existing credits paid back duly till now,(A42) furniture/equipment,959,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,1,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",29,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A202) no,Bad
(A14) no checking account,18,(A34) critical account/,(A41) car (used),3229,(A65) unknown/ no savings account,(A71) unemployed,2,(A93) male : single,(A101) none,4,(A124) unknown / no property,38,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,12,(A30) no credits taken/,(A43) radio/television,6199,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,28,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,10,(A32) existing credits paid back duly till now,(A46) education,727,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,46,(A143) none,(A153) for free,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A32) existing credits paid back duly till now,(A40) car (new),1246,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A93) male : single,(A101) none,2,(A121) real estate,23,(A142) stores,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A14) no checking account,12,(A34) critical account/,(A43) radio/television,2331,(A65) unknown/ no savings account,(A75) .. >= 7 years,1,(A93) male : single,(A102) co-applicant,4,(A121) real estate,49,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
